Invoice,InvoiceDate,StockCode,Quantity,Price,TotalPrice,Customer ID
536623,2010-12-02 10:39:00,22245,24,0.85,20.4,15601
536623,2010-12-02 10:39:00,84755,32,0.65,20.8,15601
536623,2010-12-02 10:39:00,22460,24,1.25,30.0,15601
536623,2010-12-02 10:39:00,84970L,24,0.95,22.8,15601
536623,2010-12-02 10:39:00,22432,6,1.95,11.7,15601
536623,2010-12-02 10:39:00,22433,6,1.95,11.7,15601
536623,2010-12-02 10:39:00,22431,6,1.95,11.7,15601
536623,2010-12-02 10:39:00,84674,6,2.95,17.7,15601
536623,2010-12-02 10:39:00,82486,4,7.95,31.8,15601
536623,2010-12-02 10:39:00,82483,4,5.95,23.8,15601
536623,2010-12-02 10:39:00,21068,12,1.25,15.0,15601
536623,2010-12-02 10:39:00,21069,12,1.25,15.0,15601
536623,2010-12-02 10:39:00,21070,12,1.25,15.0,15601
536623,2010-12-02 10:39:00,22972,12,1.65,19.8,15601
536623,2010-12-02 10:39:00,22974,12,1.65,19.8,15601
536623,2010-12-02 10:39:00,22419,36,0.42,15.12,15601
536623,2010-12-02 10:39:00,21071,12,1.25,15.0,15601
536739,2010-12-02 13:08:00,22666,6,2.95,17.7,14180
536739,2010-12-02 13:08:00,22120,3,9.95,29.85,14180
536739,2010-12-02 13:08:00,85159A,2,6.35,12.7,14180
536739,2010-12-02 13:08:00,85064,2,5.45,10.9,14180
536739,2010-12-02 13:08:00,21843,1,10.95,10.95,14180
536739,2010-12-02 13:08:00,20750,2,7.95,15.9,14180
536739,2010-12-02 13:08:00,35004C,3,5.45,16.35,14180
536739,2010-12-02 13:08:00,21784,2,9.95,19.9,14180
536739,2010-12-02 13:08:00,22849,1,16.95,16.95,14180
536739,2010-12-02 13:08:00,22848,1,16.95,16.95,14180
536739,2010-12-02 13:08:00,21527,2,7.95,15.9,14180
536739,2010-12-02 13:08:00,21844,6,2.95,17.7,14180
536754,2010-12-02 14:09:00,22988,2,1.25,2.5,14449
536754,2010-12-02 14:09:00,22975,2,1.25,2.5,14449
536754,2010-12-02 14:09:00,22976,2,1.25,2.5,14449
536754,2010-12-02 14:09:00,22977,2,1.25,2.5,14449
536754,2010-12-02 14:09:00,21137,1,3.75,3.75,14449
536754,2010-12-02 14:09:00,22470,4,2.95,11.8,14449
536754,2010-12-02 14:09:00,84754,1,1.25,1.25,14449
536754,2010-12-02 14:09:00,22296,5,1.65,8.25,14449
536754,2010-12-02 14:09:00,21899,4,0.65,2.6,14449
536754,2010-12-02 14:09:00,22972,2,1.65,3.3,14449
536754,2010-12-02 14:09:00,22335,10,0.65,6.5,14449
536754,2010-12-02 14:09:00,21911,1,1.65,1.65,14449
536754,2010-12-02 14:09:00,21902,4,0.65,2.6,14449
536754,2010-12-02 14:09:00,21901,4,0.65,2.6,14449
536754,2010-12-02 14:09:00,21948,1,1.25,1.25,14449
536754,2010-12-02 14:09:00,21949,1,1.25,1.25,14449
536754,2010-12-02 14:09:00,22558,1,1.49,1.49,14449
536754,2010-12-02 14:09:00,20759,1,0.85,0.85,14449
536754,2010-12-02 14:09:00,20760,1,0.85,0.85,14449
536754,2010-12-02 14:09:00,20757,1,0.85,0.85,14449
536754,2010-12-02 14:09:00,20755,1,0.85,0.85,14449
536754,2010-12-02 14:09:00,22418,12,0.85,10.2,14449
536754,2010-12-02 14:09:00,20981,3,0.85,2.55,14449
536754,2010-12-02 14:09:00,22652,2,1.65,3.3,14449
536754,2010-12-02 14:09:00,22553,1,1.65,1.65,14449
536754,2010-12-02 14:09:00,22953,1,1.25,1.25,14449
536754,2010-12-02 14:09:00,21544,10,0.85,8.5,14449
536754,2010-12-02 14:09:00,22198,2,1.65,3.3,14449
536754,2010-12-02 14:09:00,22197,3,0.85,2.55,14449
536754,2010-12-02 14:09:00,20974,6,0.65,3.9,14449
536754,2010-12-02 14:09:00,20967,2,3.75,7.5,14449
536754,2010-12-02 14:09:00,22570,1,3.75,3.75,14449
536754,2010-12-02 14:09:00,22274,3,2.95,8.85,14449
536754,2010-12-02 14:09:00,22743,1,2.95,2.95,14449
536754,2010-12-02 14:09:00,20971,3,1.25,3.75,14449
536754,2010-12-02 14:09:00,85185D,1,2.95,2.95,14449
536754,2010-12-02 14:09:00,85185B,1,2.95,2.95,14449
536754,2010-12-02 14:09:00,22150,2,1.95,3.9,14449
536754,2010-12-02 14:09:00,22147,4,1.45,5.8,14449
536754,2010-12-02 14:09:00,22088,2,2.95,5.9,14449
536754,2010-12-02 14:09:00,22384,3,1.65,4.95,14449
536754,2010-12-02 14:09:00,20727,3,1.65,4.95,14449
536754,2010-12-02 14:09:00,22867,3,2.1,6.3,14449
536754,2010-12-02 14:09:00,22834,5,2.1,10.5,14449
536754,2010-12-02 14:09:00,22633,4,2.1,8.4,14449
536754,2010-12-02 14:09:00,22383,5,1.65,8.25,14449
536754,2010-12-02 14:09:00,20726,3,1.65,4.95,14449
536754,2010-12-02 14:09:00,22328,1,2.95,2.95,14449
536754,2010-12-02 14:09:00,22326,2,2.95,5.9,14449
536754,2010-12-02 14:09:00,22327,2,2.95,5.9,14449
536769,2010-12-02 14:47:00,22776,4,9.95,39.8,17581
536769,2010-12-02 14:47:00,20724,10,0.85,8.5,17581
536769,2010-12-02 14:47:00,20725,10,1.65,16.5,17581
536769,2010-12-02 14:47:00,21080,24,0.85,20.4,17581
536769,2010-12-02 14:47:00,21210,24,1.45,34.8,17581
536769,2010-12-02 14:47:00,21212,24,0.55,13.2,17581
536769,2010-12-02 14:47:00,22083,12,2.95,35.4,17581
536769,2010-12-02 14:47:00,22333,8,1.65,13.2,17581
536769,2010-12-02 14:47:00,22084,6,2.95,17.7,17581
536769,2010-12-02 14:47:00,22086,18,2.95,53.1,17581
536769,2010-12-02 14:47:00,22575,8,1.95,15.6,17581
536769,2010-12-02 14:47:00,22909,24,0.85,20.4,17581
536769,2010-12-02 14:47:00,22910,18,2.95,53.1,17581
536769,2010-12-02 14:47:00,22952,24,0.55,13.2,17581
536769,2010-12-02 14:47:00,84347,18,2.55,45.9,17581
536769,2010-12-02 14:47:00,22356,10,0.85,8.5,17581
536769,2010-12-02 14:47:00,22384,10,1.65,16.5,17581
536769,2010-12-02 14:47:00,20727,10,1.65,16.5,17581
536769,2010-12-02 14:47:00,22380,5,2.1,10.5,17581
536769,2010-12-02 14:47:00,22382,10,1.65,16.5,17581
536769,2010-12-02 14:47:00,72801C,12,1.25,15.0,17581
536769,2010-12-02 14:47:00,72801D,12,1.25,15.0,17581
536769,2010-12-02 14:47:00,79321,4,4.95,19.8,17581
536769,2010-12-02 14:47:00,22661,10,0.85,8.5,17581
536769,2010-12-02 14:47:00,22198,12,1.65,19.8,17581
536769,2010-12-02 14:47:00,22862,4,4.25,17.0,17581
536769,2010-12-02 14:47:00,22726,8,3.75,30.0,17581
536769,2010-12-02 14:47:00,22729,4,3.75,15.0,17581
536769,2010-12-02 14:47:00,21735,2,12.75,25.5,17581
536769,2010-12-02 14:47:00,22355,10,0.85,8.5,17581
536769,2010-12-02 14:47:00,22733,20,1.25,25.0,17581
536771,2010-12-02 14:49:00,22558,12,1.49,17.88,17581
536771,2010-12-02 14:49:00,22964,6,2.1,12.6,17581
536771,2010-12-02 14:49:00,22966,12,1.25,15.0,17581
536771,2010-12-02 14:49:00,22969,12,1.45,17.4,17581
536771,2010-12-02 14:49:00,22965,6,2.1,12.6,17581
536771,2010-12-02 14:49:00,22961,12,1.45,17.4,17581
536771,2010-12-02 14:49:00,22960,6,4.25,25.5,17581
536833,2010-12-02 17:48:00,85123A,6,2.95,17.7,18239
536833,2010-12-02 17:48:00,84970S,12,0.85,10.2,18239
536833,2010-12-02 17:48:00,20749,2,7.95,15.9,18239
536833,2010-12-02 17:48:00,15060B,4,3.75,15.0,18239
536833,2010-12-02 17:48:00,85014B,3,5.95,17.85,18239
536833,2010-12-02 17:48:00,22464,12,1.65,19.8,18239
536833,2010-12-02 17:48:00,22465,12,1.65,19.8,18239
536833,2010-12-02 17:48:00,22785,4,6.75,27.0,18239
536833,2010-12-02 17:48:00,71053,4,3.75,15.0,18239
536833,2010-12-02 17:48:00,22969,12,1.45,17.4,18239
536833,2010-12-02 17:48:00,22810,6,2.95,17.7,18239
536833,2010-12-02 17:48:00,22186,6,2.95,17.7,18239
536833,2010-12-02 17:48:00,22187,4,4.25,17.0,18239
536833,2010-12-02 17:48:00,22141,6,2.1,12.6,18239
536833,2010-12-02 17:48:00,22144,6,2.1,12.6,18239
536833,2010-12-02 17:48:00,22121,3,5.95,17.85,18239
536833,2010-12-02 17:48:00,21364,2,6.75,13.5,18239
536833,2010-12-02 17:48:00,22573,12,0.85,10.2,18239
536833,2010-12-02 17:48:00,22576,12,0.85,10.2,18239
536833,2010-12-02 17:48:00,22578,12,0.85,10.2,18239
536833,2010-12-02 17:48:00,22593,12,0.85,10.2,18239
536833,2010-12-02 17:48:00,22595,12,0.85,10.2,18239
536833,2010-12-02 17:48:00,35961,12,0.85,10.2,18239
536833,2010-12-02 17:48:00,22334,8,1.65,13.2,18239
536833,2010-12-02 17:48:00,22910,6,2.95,17.7,18239
536833,2010-12-02 17:48:00,22065,12,1.45,17.4,18239
536833,2010-12-02 17:48:00,21349,2,6.75,13.5,18239
536833,2010-12-02 17:48:00,21352,2,6.75,13.5,18239
536833,2010-12-02 17:48:00,21621,2,8.5,17.0,18239
537158,2010-12-05 13:10:00,22629,4,1.95,7.8,16393
537158,2010-12-05 13:10:00,22659,2,1.95,3.9,16393
537158,2010-12-05 13:10:00,22900,6,2.95,17.7,16393
537158,2010-12-05 13:10:00,22902,6,2.1,12.6,16393
537158,2010-12-05 13:10:00,22834,7,2.1,14.7,16393
537158,2010-12-05 13:10:00,22865,12,2.1,25.2,16393
537158,2010-12-05 13:10:00,22867,12,2.1,25.2,16393
537158,2010-12-05 13:10:00,22866,14,2.1,29.4,16393
537158,2010-12-05 13:10:00,22632,7,2.1,14.7,16393
537158,2010-12-05 13:10:00,22633,16,2.1,33.6,16393
537208,2010-12-05 15:12:00,90082B,1,6.35,6.35,15889
537208,2010-12-05 15:12:00,90082D,1,6.35,6.35,15889
537208,2010-12-05 15:12:00,20978,2,1.25,2.5,15889
537208,2010-12-05 15:12:00,21581,2,2.25,4.5,15889
537208,2010-12-05 15:12:00,21401,1,0.42,0.42,15889
537208,2010-12-05 15:12:00,21892,1,1.25,1.25,15889
537208,2010-12-05 15:12:00,22915,6,0.42,2.52,15889
537208,2010-12-05 15:12:00,21890,1,2.95,2.95,15889
537208,2010-12-05 15:12:00,21098,1,1.25,1.25,15889
537208,2010-12-05 15:12:00,M,4,0.85,3.4,15889
537208,2010-12-05 15:12:00,22924,6,0.85,5.1,15889
537208,2010-12-05 15:12:00,21584,2,1.65,3.3,15889
537208,2010-12-05 15:12:00,21592,2,1.25,2.5,15889
537208,2010-12-05 15:12:00,22467,1,2.55,2.55,15889
537208,2010-12-05 15:12:00,22441,3,2.1,6.3,15889
537208,2010-12-05 15:12:00,82600,2,2.1,4.2,15889
537208,2010-12-05 15:12:00,21165,1,1.69,1.69,15889
537208,2010-12-05 15:12:00,84597C,1,1.25,1.25,15889
537208,2010-12-05 15:12:00,51020A,1,1.25,1.25,15889
537208,2010-12-05 15:12:00,51020B,2,1.25,2.5,15889
537208,2010-12-05 15:12:00,21830,24,0.42,10.08,15889
537208,2010-12-05 15:12:00,21306,1,2.1,2.1,15889
537208,2010-12-05 15:12:00,21311,1,2.1,2.1,15889
537208,2010-12-05 15:12:00,21307,1,2.1,2.1,15889
537208,2010-12-05 15:12:00,84879,8,1.69,13.52,15889
537208,2010-12-05 15:12:00,21393,6,2.1,12.6,15889
537208,2010-12-05 15:12:00,84836,4,1.25,5.0,15889
537208,2010-12-05 15:12:00,22867,2,2.1,4.2,15889
537208,2010-12-05 15:12:00,22633,2,2.1,4.2,15889
537208,2010-12-05 15:12:00,85114A,6,1.65,9.9,15889
537208,2010-12-05 15:12:00,21635,4,3.75,15.0,15889
537208,2010-12-05 15:12:00,22747,1,2.1,2.1,15889
537208,2010-12-05 15:12:00,22745,1,2.1,2.1,15889
537208,2010-12-05 15:12:00,22748,1,2.1,2.1,15889
537208,2010-12-05 15:12:00,21034,1,0.95,0.95,15889
537208,2010-12-05 15:12:00,22746,1,2.1,2.1,15889
537208,2010-12-05 15:12:00,20767,1,2.55,2.55,15889
537208,2010-12-05 15:12:00,22081,1,1.65,1.65,15889
537208,2010-12-05 15:12:00,21277,1,21.95,21.95,15889
537208,2010-12-05 15:12:00,22665,1,2.95,2.95,15889
537208,2010-12-05 15:12:00,22666,1,2.95,2.95,15889
537208,2010-12-05 15:12:00,48187,1,7.95,7.95,15889
537208,2010-12-05 15:12:00,22475,2,4.95,9.9,15889
537208,2010-12-05 15:12:00,22550,1,3.75,3.75,15889
537208,2010-12-05 15:12:00,84558A,1,2.95,2.95,15889
537208,2010-12-05 15:12:00,22548,1,1.25,1.25,15889
537208,2010-12-05 15:12:00,22428,1,6.95,6.95,15889
537208,2010-12-05 15:12:00,21587,1,2.55,2.55,15889
537208,2010-12-05 15:12:00,22041,2,2.55,5.1,15889
537208,2010-12-05 15:12:00,22532,4,0.42,1.68,15889
537208,2010-12-05 15:12:00,22531,3,0.42,1.26,15889
537208,2010-12-05 15:12:00,22744,1,2.95,2.95,15889
537208,2010-12-05 15:12:00,22726,1,3.75,3.75,15889
537208,2010-12-05 15:12:00,22725,1,3.75,3.75,15889
537208,2010-12-05 15:12:00,90185D,2,4.25,8.5,15889
537208,2010-12-05 15:12:00,90200E,2,4.25,8.5,15889
537208,2010-12-05 15:12:00,90062,1,12.75,12.75,15889
537231,2010-12-06 09:21:00,71477,4,3.25,13.0,13652
537231,2010-12-06 09:21:00,72807C,4,4.25,17.0,13652
537231,2010-12-06 09:21:00,72807A,4,4.25,17.0,13652
537231,2010-12-06 09:21:00,48194,2,7.95,15.9,13652
537231,2010-12-06 09:21:00,48111,2,7.95,15.9,13652
537231,2010-12-06 09:21:00,22867,12,2.1,25.2,13652
537231,2010-12-06 09:21:00,22866,12,2.1,25.2,13652
537231,2010-12-06 09:21:00,22633,12,2.1,25.2,13652
537231,2010-12-06 09:21:00,21915,12,1.25,15.0,13652
537231,2010-12-06 09:21:00,21914,12,1.25,15.0,13652
537231,2010-12-06 09:21:00,22114,4,3.95,15.8,13652
537231,2010-12-06 09:21:00,22112,3,4.95,14.85,13652
537231,2010-12-06 09:21:00,22835,4,4.65,18.6,13652
537231,2010-12-06 09:21:00,21108,9,2.55,22.95,13652
537231,2010-12-06 09:21:00,21109,2,6.75,13.5,13652
537231,2010-12-06 09:21:00,21110,2,6.75,13.5,13652
537231,2010-12-06 09:21:00,84050,6,1.65,9.9,13652
537231,2010-12-06 09:21:00,22304,6,2.55,15.3,13652
537239,2010-12-06 10:05:00,22767,2,9.95,19.9,18219
537239,2010-12-06 10:05:00,71053,4,3.75,15.0,18219
537239,2010-12-06 10:05:00,22988,12,1.25,15.0,18219
537239,2010-12-06 10:05:00,22796,2,9.95,19.9,18219
537239,2010-12-06 10:05:00,22795,2,6.75,13.5,18219
537239,2010-12-06 10:05:00,21484,4,3.45,13.8,18219
537239,2010-12-06 10:05:00,22310,6,1.65,9.9,18219
537239,2010-12-06 10:05:00,85123A,6,2.95,17.7,18219
537239,2010-12-06 10:05:00,21136,8,1.69,13.52,18219
537239,2010-12-06 10:05:00,84879,8,1.69,13.52,18219
537239,2010-12-06 10:05:00,22844,2,8.5,17.0,18219
537239,2010-12-06 10:05:00,22766,8,2.95,23.6,18219
537239,2010-12-06 10:05:00,21754,3,5.95,17.85,18219
537440,2010-12-06 17:16:00,22616,12,0.29,3.48,17869
537440,2010-12-06 17:16:00,21875,6,1.25,7.5,17869
537440,2010-12-06 17:16:00,21587,12,2.55,30.6,17869
537440,2010-12-06 17:16:00,85174,1,4.95,4.95,17869
537440,2010-12-06 17:16:00,72802A,6,4.25,25.5,17869
537440,2010-12-06 17:16:00,22727,1,3.75,3.75,17869
537440,2010-12-06 17:16:00,22158,8,2.95,23.6,17869
537440,2010-12-06 17:16:00,22095,1,1.25,1.25,17869
537440,2010-12-06 17:16:00,35001W,1,3.49,3.49,17869
537440,2010-12-06 17:16:00,21617,12,3.75,45.0,17869
537440,2010-12-06 17:16:00,47566,1,4.65,4.65,17869
537440,2010-12-06 17:16:00,21001,1,5.95,5.95,17869
537440,2010-12-06 17:16:00,21000,1,4.25,4.25,17869
537440,2010-12-06 17:16:00,22844,1,8.5,8.5,17869
537440,2010-12-06 17:16:00,22503,1,29.95,29.95,17869
537440,2010-12-06 17:16:00,21624,2,5.95,11.9,17869
537635,2010-12-07 15:18:00,22086,18,2.95,53.1,16306
537635,2010-12-07 15:18:00,21494,12,1.25,15.0,16306
537698,2010-12-08 10:51:00,84945,384,0.72,276.48,13199
537698,2010-12-08 10:51:00,21463,16,4.95,79.2,13199
537698,2010-12-08 10:51:00,21464,16,4.25,68.0,13199
537698,2010-12-08 10:51:00,22435,36,1.25,45.0,13199
537802,2010-12-08 13:11:00,84580,4,3.75,15.0,13455
537802,2010-12-08 13:11:00,21055,2,8.95,17.9,13455
537802,2010-12-08 13:11:00,21462,2,6.75,13.5,13455
537802,2010-12-08 13:11:00,22555,12,1.65,19.8,13455
537802,2010-12-08 13:11:00,21314,8,2.1,16.8,13455
537802,2010-12-08 13:11:00,22278,3,4.95,14.85,13455
537802,2010-12-08 13:11:00,22557,12,1.65,19.8,13455
537802,2010-12-08 13:11:00,22968,2,9.95,19.9,13455
537802,2010-12-08 13:11:00,22800,4,3.75,15.0,13455
537802,2010-12-08 13:11:00,22798,8,2.95,23.6,13455
537802,2010-12-08 13:11:00,22452,6,2.95,17.7,13455
537802,2010-12-08 13:11:00,22063,12,2.95,35.4,13455
537802,2010-12-08 13:11:00,37450,6,2.95,17.7,13455
537802,2010-12-08 13:11:00,22059,12,1.49,17.88,13455
537802,2010-12-08 13:11:00,22061,2,9.95,19.9,13455
537802,2010-12-08 13:11:00,22057,12,1.49,17.88,13455
537802,2010-12-08 13:11:00,37447,12,1.49,17.88,13455
537802,2010-12-08 13:11:00,22637,6,2.55,15.3,13455
537802,2010-12-08 13:11:00,21539,3,4.95,14.85,13455
537802,2010-12-08 13:11:00,21533,3,4.95,14.85,13455
537802,2010-12-08 13:11:00,22423,5,12.75,63.75,13455
537802,2010-12-08 13:11:00,22890,5,9.95,49.75,13455
537802,2010-12-08 13:11:00,85150,6,2.55,15.3,13455
537802,2010-12-08 13:11:00,72807C,4,4.25,17.0,13455
537802,2010-12-08 13:11:00,72807A,4,4.25,17.0,13455
537802,2010-12-08 13:11:00,85066,4,12.75,51.0,13455
537802,2010-12-08 13:11:00,82482,12,2.55,30.6,13455
537802,2010-12-08 13:11:00,82494L,12,2.95,35.4,13455
537802,2010-12-08 13:11:00,82483,4,5.95,23.8,13455
537802,2010-12-08 13:11:00,82486,3,7.95,23.85,13455
538417,2010-12-12 11:54:00,22745,3,2.1,6.3,16393
538417,2010-12-12 11:54:00,22746,3,2.1,6.3,16393
538417,2010-12-12 11:54:00,22892,12,1.25,15.0,16393
538417,2010-12-12 11:54:00,21034,1,0.95,0.95,16393
538417,2010-12-12 11:54:00,21463,2,5.95,11.9,16393
538417,2010-12-12 11:54:00,47591B,3,1.65,4.95,16393
538417,2010-12-12 11:54:00,22371,8,4.25,34.0,16393
538417,2010-12-12 11:54:00,20725,6,1.65,9.9,16393
538417,2010-12-12 11:54:00,20728,3,1.65,4.95,16393
538417,2010-12-12 11:54:00,22791,10,1.25,12.5,16393
538449,2010-12-12 12:24:00,37449,1,9.95,9.95,17085
538449,2010-12-12 12:24:00,21232,6,1.25,7.5,17085
538449,2010-12-12 12:24:00,85150,4,2.55,10.2,17085
538449,2010-12-12 12:24:00,82600,3,2.1,6.3,17085
538449,2010-12-12 12:24:00,82599,2,2.1,4.2,17085
538449,2010-12-12 12:24:00,85152,4,2.1,8.4,17085
538449,2010-12-12 12:24:00,82567,1,2.1,2.1,17085
538449,2010-12-12 12:24:00,82582,3,2.1,6.3,17085
538449,2010-12-12 12:24:00,21165,1,1.69,1.69,17085
538449,2010-12-12 12:24:00,21164,3,2.95,8.85,17085
538449,2010-12-12 12:24:00,21175,3,2.1,6.3,17085
538449,2010-12-12 12:24:00,21174,3,1.95,5.85,17085
538449,2010-12-12 12:24:00,21181,4,2.1,8.4,17085
538449,2010-12-12 12:24:00,22412,2,2.1,4.2,17085
538449,2010-12-12 12:24:00,21904,2,2.1,4.2,17085
538449,2010-12-12 12:24:00,21876,3,1.25,3.75,17085
538449,2010-12-12 12:24:00,21871,2,1.25,2.5,17085
538449,2010-12-12 12:24:00,21877,2,1.25,2.5,17085
538449,2010-12-12 12:24:00,21872,2,1.25,2.5,17085
538449,2010-12-12 12:24:00,22174,6,1.65,9.9,17085
538449,2010-12-12 12:24:00,22109,8,3.75,30.0,17085
538449,2010-12-12 12:24:00,22444,24,1.25,30.0,17085
538449,2010-12-12 12:24:00,22812,12,1.95,23.4,17085
538449,2010-12-12 12:24:00,21870,6,1.25,7.5,17085
538449,2010-12-12 12:24:00,85123A,6,2.95,17.7,17085
538449,2010-12-12 12:24:00,21733,4,2.95,11.8,17085
538449,2010-12-12 12:24:00,22197,10,0.85,8.5,17085
538449,2010-12-12 12:24:00,21231,6,1.25,7.5,17085
538449,2010-12-12 12:24:00,51020B,6,1.25,7.5,17085
538449,2010-12-12 12:24:00,22474,1,4.95,4.95,17085
538449,2010-12-12 12:24:00,22855,6,1.25,7.5,17085
538449,2010-12-12 12:24:00,20886,6,1.95,11.7,17085
538449,2010-12-12 12:24:00,22095,6,1.25,7.5,17085
538449,2010-12-12 12:24:00,72741,9,1.45,13.05,17085
538449,2010-12-12 12:24:00,22441,1,2.1,2.1,17085
538449,2010-12-12 12:24:00,22374,1,4.25,4.25,17085
538449,2010-12-12 12:24:00,22371,1,4.25,4.25,17085
538449,2010-12-12 12:24:00,22372,2,4.25,8.5,17085
538449,2010-12-12 12:24:00,70007,2,1.65,3.3,17085
538449,2010-12-12 12:24:00,22314,5,2.95,14.75,17085
538449,2010-12-12 12:24:00,22311,6,2.95,17.7,17085
538449,2010-12-12 12:24:00,22283,1,7.95,7.95,17085
538449,2010-12-12 12:24:00,22099,4,1.25,5.0,17085
538449,2010-12-12 12:24:00,21730,3,4.95,14.85,17085
538449,2010-12-12 12:24:00,71477,4,3.25,13.0,17085
538449,2010-12-12 12:24:00,22834,6,2.1,12.6,17085
538449,2010-12-12 12:24:00,20961,6,1.25,7.5,17085
538449,2010-12-12 12:24:00,22727,1,3.75,3.75,17085
538449,2010-12-12 12:24:00,22725,1,3.75,3.75,17085
538449,2010-12-12 12:24:00,22729,1,3.75,3.75,17085
538449,2010-12-12 12:24:00,20966,6,1.25,7.5,17085
538449,2010-12-12 12:24:00,20963,6,1.25,7.5,17085
538449,2010-12-12 12:24:00,21790,3,0.85,2.55,17085
538521,2010-12-13 09:02:00,21754,3,5.95,17.85,14180
538521,2010-12-13 09:02:00,21755,3,5.95,17.85,14180
538521,2010-12-13 09:02:00,22072,8,3.75,30.0,14180
538521,2010-12-13 09:02:00,22846,1,16.95,16.95,14180
538521,2010-12-13 09:02:00,22849,1,16.95,16.95,14180
538521,2010-12-13 09:02:00,21527,6,7.95,47.7,14180
538521,2010-12-13 09:02:00,21258,2,12.75,25.5,14180
538521,2010-12-13 09:02:00,22795,2,6.75,13.5,14180
538521,2010-12-13 09:02:00,21218,6,3.75,22.5,14180
538521,2010-12-13 09:02:00,21539,3,4.95,14.85,14180
538521,2010-12-13 09:02:00,21216,4,4.95,19.8,14180
538521,2010-12-13 09:02:00,21784,2,9.95,19.9,14180
538521,2010-12-13 09:02:00,82011A,2,3.75,7.5,14180
538521,2010-12-13 09:02:00,15060B,4,3.75,15.0,14180
538521,2010-12-13 09:02:00,85014A,3,5.95,17.85,14180
538521,2010-12-13 09:02:00,85014B,3,5.95,17.85,14180
538521,2010-12-13 09:02:00,21756,3,5.95,17.85,14180
538815,2010-12-14 12:30:00,22844,2,8.5,17.0,18219
538815,2010-12-14 12:30:00,21754,3,5.95,17.85,18219
538815,2010-12-14 12:30:00,84879,8,1.69,13.52,18219
538815,2010-12-14 12:30:00,22310,6,1.65,9.9,18219
538815,2010-12-14 12:30:00,21484,4,3.45,13.8,18219
538815,2010-12-14 12:30:00,20983,12,0.85,10.2,18219
538815,2010-12-14 12:30:00,22796,2,9.95,19.9,18219
538815,2010-12-14 12:30:00,22988,24,1.25,30.0,18219
538815,2010-12-14 12:30:00,21314,8,2.1,16.8,18219
538815,2010-12-14 12:30:00,15060B,4,3.75,15.0,18219
538815,2010-12-14 12:30:00,22692,2,7.95,15.9,18219
539008,2010-12-15 13:21:00,20749,8,7.95,63.6,17033
539008,2010-12-15 13:21:00,20750,8,7.95,63.6,17033
539008,2010-12-15 13:21:00,22021,18,1.65,29.7,17033
539008,2010-12-15 13:21:00,85206A,18,1.65,29.7,17033
539008,2010-12-15 13:21:00,21716,8,2.55,20.4,17033
539008,2010-12-15 13:21:00,22128,24,1.25,30.0,17033
539008,2010-12-15 13:21:00,22127,24,1.25,30.0,17033
